Time,User,Executable,CommandLine,PID,Parent,PID,Privileges
20170721220825.553469+480,GYL-PC\GYL,C:\Users\GYL\AppData\Roaming\Baidu\BaiduBrowser\plugin\extends\{C060303D-ECBF-4D67-9B86-C48DC33EC8F0}\8.7.100.264\baidubrowser.exe,"C:\Users\GYL\AppData\Roaming\Baidu\BaiduBrowser\plugin\extends\{C060303D-ECBF-4D67-9B86-C48DC33EC8F0}\8.7.100.264\baidubrowser.exe" --type=renderer --disable-direct-write --lang=zh-CN --enable-pinch --device-scale-factor=1 --num-raster-threads=2 --content-image-texture-target=3553,3553,3553,3553,3553,3553,3553,3553,3553,3553,3553,3553,3553 --video-image-texture-target=3553 --channel="8944.10.1886569138\248398144" --browser-delegate-path="\"C:\Users\GYL\AppData\Local\Baidu\BaiduBrowser\8.7.5000.4962\"" /prefetch:673131151,11276,8944,
20170721220941.561335+480,GYL-PC\GYL,C:\WINDOWS\System32\LocationNotificationWindows.exe,C:\WINDOWS\System32\LocationNotificationWindows.exe,10132,1264,SeChangeNotifyPrivilege|
20170721220941.494194+480,None\None,None,None,12668,828,N/A
20170721220941.708846+480,None\None,None,None,1880,828,N/A
20170721220943.695282+480,GYL-PC\GYL,C:\Windows\system32\backgroundTaskHost.exe,"C:\Windows\system32\backgroundTaskHost.exe" -ServerName:App.AppXxrsnby4mn406jwqfj9a8vwetg7hpvhgq.mca,7016,980,SeChangeNotifyPrivilege|
20170721220943.718977+480,None\None,None,None,7252,828,N/A
20170721221013.505429+480,GYL-PC\GYL,C:\Windows\System32\SystemSettingsBroker.exe,C:\Windows\System32\SystemSettingsBroker.exe -Embedding,1284,980,SeChangeNotifyPrivilege|
20170721221015.308209+480,GYL-PC\GYL,C:\WINDOWS\System32\WiFiTask.exe,C:\WINDOWS\System32\WiFiTask.exe,12000,1264,SeChangeNotifyPrivilege|
20170721221015.356130+480,GYL-PC\GYL,C:\WINDOWS\System32\LocationNotificationWindows.exe,C:\WINDOWS\System32\LocationNotificationWindows.exe,7224,1264,SeChangeNotifyPrivilege|
20170721221015.494380+480,GYL-PC\GYL,C:\WINDOWS\system32\backgroundTaskHost.exe,"C:\WINDOWS\system32\backgroundTaskHost.exe" -ServerName:Microsoft.XboxApp.AppXf74jmpwd42x7vxttda454sh29n0qpb8x.mca,8860,980,SeChangeNotifyPrivilege|
20170721221015.295357+480,None\None,None,None,9476,828,N/A
20170721221016.573684+480,None\None,None,None,164,828,N/A
20170721221016.753709+480,GYL-PC\GYL,C:\WINDOWS\System32\BackgroundTaskHost.exe,"C:\WINDOWS\System32\BackgroundTaskHost.exe" -ServerName:BackgroundTaskHost.WebAccountProvider,10312,980,SeChangeNotifyPrivilege|
20170721221021.440743+480,GYL-PC\GYL,C:\WINDOWS\system32\ApplicationFrameHost.exe,C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding,1980,980,SeChangeNotifyPrivilege|
